date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
1/9/2009,,,0,,,,700,0,14,1,,,,3010,14
1/10/2009,,,0,,,,3050,0,61,1,,,,13129,61
1/11/2009,,,0,,,,4650,0,93,1,,,,20033,93
1/12/2009,,,7,,,,4700,0,102,1,5,,0,22031,94
1/13/2009,,,0,,,,6150,0,123,1,,,,26527,123
1/14/2009,,,1,,,,6450,0,133,1,0,,0,28276,129
1/15/2009,,,8,,,,6300,0,140,1,6,,0,30061,126
1/16/2009,,,2,,,,5400,0,114,1,0,,0,23854,108
1/17/2009,,,0,,,,5450,0,109,1,,,,23528,109
1/18/2009,,,1,,,,5350,0,111,1,0,,0,23534,107
1/19/2009,,,2,,,,5750,0,133,1,0,,0,26783,115
1/20/2009,,,1,,,,5700,0,123,1,0,,0,25619,114
1/21/2009,,,1,,,,5100,0,105,1,0,,0,22337,102
1/22/2009,,,1,,,,4550,0,102,1,0,,0,20816,91
1/23/2009,,,2,,,,4200,0,95,1,0,,0,19256,84
1/24/2009,,,1,,,,10050,0,212,1,0,,0,44634,201
1/25/2009,,,1,,,,9550,0,193,1,0,,0,41447,191
1/26/2009,,,1,,,,4800,0,117,1,0,,0,23035,96
1/27/2009,,,1,,,,4850,0,101,1,0,,0,21370,97
1/28/2009,,,0,,,,5600,0,112,1,,,,24153,112
1/29/2009,,,1,,,,6050,0,134,1,0,,0,27498,121
1/30/2009,,,0,,,,5850,0,117,1,,,,25257,117
1/31/2009,,,1,,,,6900,0,159,1,0,,0,32080,138
2/1/2009,,,1,,,,5650,0,116,1,0,,0,24657,113
2/2/2009,,,1,,,,6400,0,130,1,0,,0,27788,128
2/3/2009,,,16,,,,6950,2.01,154,1,14,,0,34541,139
2/4/2009,,,0,,,,5950,0,119,1,,,,25673,119
2/5/2009,,,0,,,,6300,0,126,1,,,,27181,126
2/6/2009,,,0,,,,6100,0,122,1,,,,26332,122
2/7/2009,,,4,,,,6450,0,156,1,1,,0,31000,129
2/8/2009,,,1,,,,6600,0,134,1,0,,0,28720,132
2/9/2009,,,1,,,,6700,0,179,1,0,,0,33983,134
