date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
1/3/2009,0,0,0,,,,0,,,,,,0,,,,,,,,,,1,,,,0,0,0,0,,,,,,0,,,,
1/4/2009,0,0,0,,,,0,,,,,,0,,,,,,,,,,1,,,,0,0,0,0,,,,,,0,,,,
1/5/2009,0,0,0,,,,0,,,,,,0,,,,,,,,,,1,,,,0,0,0,0,,,,,,0,,,,
1/6/2009,0,0,0,,,,0,,,,,,0,,,,,,,,,,1,,,,0,0,0,0,,,,,,0,,,,
1/7/2009,0,0,0,,,,0,,,,,,0,,,,,,,,,,1,,,,0,0,0,0,,,,,,0,,,,
1/8/2009,0,0,0,,,,0,,,,,,0,,,,,,,,,,1,,,,0,0,0,0,,,,,,0,,,,
1/9/2009,19,19,4085,215,,,0,1,,,,,0,,9.44E-07,950,36500,,950,,,,1,,,,950,0,0,0,,,,,,0,,,,
1/10/2009,61,61,13129,215.2295082,,,0,1,,,,,0,,3.03233E-06,3050,27831.25,,3050,,,,1,,,,4000,0,0,0,,,,,,0,,,,
1/11/2009,95,93,20308,218.3655914,,,0,1,0,,0,,0,,4.62306E-06,4650,19621.38728,,4650,,865,,1,,,,8650,1,1,10,,10,,10,,10,,,,
1/12/2009,101,94,21758,231.4680851,,,0,1,0,,0,,0,,4.67277E-06,4700,12850.18727,,4700,,556.25,,1,,,,13350,6,6,24,,4,,1,,24,,,,
1/13/2009,123,123,26530,215.6910569,,,0,1,,,,,0,,6.11436E-06,6150,11511.53846,,6150,,,,1,,,,19500,0,0,0,,,,,,0,,,,
1/14/2009,133,129,28276,219.1937984,,,0,1,0,,0,,0,,6.41262E-06,6450,9072.254335,,6450,,425.4098361,,1,,,,25950,1,1,61,,61,,61,,61,,,,
1/15/2009,140,126,30060,238.5714286,,,0,1,0,,0,,0,,6.26349E-06,6300,7130.232558,,6300,,91.88034188,,1,,,,32250,8,7,351,,50.42857143,,25,,353,,,,
1/16/2009,114,108,23854,220.8703704,,,0,1,0,,0,,0,,5.36871E-06,5400,5235.059761,,5400,,188.25,,1,,,,37650,2,2,200,,100,,100,,200,,,,
1/17/2009,109,109,23529,215.8623853,,,0,1,,,,,0,,5.41842E-06,5450,4615.429234,,5450,,,,1,,,,43100,0,0,0,,,,,,0,,,,
1/18/2009,111,107,23534,219.9439252,,,0,1,0,,0,,0,,5.319E-06,5350,4030.443756,,5350,,323,,1,,,,48450,1,1,150,,150,,150,,150,,,,
